housing,stator_yoke,stator_tooth,stator_coil_active,rotor_outer,rotor_inner,pm,shaft,loss,output_1_loss,output_2_loss,output_3_loss,output_1_mae,output_1_mae_pm,output_1_all_max_ae,output_1_pm_max_ae,final_epoch
0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0002805849944707,0.0002805849944707,0.0284651722759008,0.0042717517353594,0.7420771718025208,0.808361291885376,3.709887981414795,2.770992040634156,117.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.836419950355776e-05,5.836419950355776e-05,0.0215738322585821,0.0010256548412144,0.3483037650585174,0.3485649824142456,2.696940898895264,1.4616113901138306,218.0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,7.500070933019742e-05,7.500070933019742e-05,0.0436965338885784,0.0155073152855038,0.3869914710521698,0.472864031791687,7.227541923522949,2.0088202953338623,313.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0001095274565159,0.0001095274565159,0.0386806614696979,0.1037404090166091,0.4578503370285034,0.4494498968124389,11.6950044631958,2.0574333667755127,161.0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0001187195084639,0.0001187195084639,0.0479223504662513,0.801267683506012,0.4421144723892212,0.5937456488609314,8.964017868041992,3.331748962402344,233.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0001312404638156,0.0001312404638156,0.0266955643892288,0.002012935699895,0.512784481048584,0.5176825523376465,4.165586471557617,2.752730369567871,282.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0001456916652387,0.0001456916652387,0.0290461666882038,0.0039037354290485,0.5685304999351501,0.6059566736221313,4.6530351638793945,2.237086772918701,187.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0001250544592039,0.0001250544592039,0.0293250568211078,0.0057342504151165,0.4826395511627197,0.5918740630149841,5.951700687408447,3.3478970527648926,283.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0001614180073374,0.0001614180073374,0.024499038234353,0.0051469937898218,0.5801988840103149,0.5453587174415588,6.573954105377197,2.789999008178711,130.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0001056751352734,0.0001056751352734,0.0315211936831474,0.019986430183053,0.471422791481018,0.4593554139137268,7.589971542358398,1.899184942245484,197.0
0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0001653967337915,0.0001653967337915,0.0279273297637701,0.0175167676061391,0.5922144055366516,0.6356616616249084,8.321693420410156,2.360596179962158,185.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.348507592221722e-05,9.348507592221722e-05,0.0217576269060373,0.0002491851337254,0.4565343856811523,0.4445977210998535,3.179633855819702,2.637078762054444,217.0
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.187873365590347e-05,9.187873365590347e-05,0.0280653946101665,0.0133336717262864,0.3639378845691681,0.6010856628417969,8.260899543762207,2.6223740577697754,283.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001362345792585,0.0001362345792585,0.0191112887114286,0.0014116371748968,0.4713536202907562,0.6419790983200073,5.9414496421813965,2.807176113128662,151.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.682993600610644e-05,7.682993600610644e-05,0.0188888143748044,0.0022950037382543,0.3552411198616028,0.4211622476577759,4.286579132080078,1.99395751953125,221.0
